# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	93	710	+							BT_RS00005	618		old_locus_tag=BT0001,BT_0001
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	93	710	+	WP_011107050.1	WP_011107050.1		hypothetical protein			BT_RS00005	618	205	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783	1778	+							BT_RS00010	996		old_locus_tag=BT0002,BT_0002
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	783	1778	+	WP_009039994.1	WP_009039994.1		hypothetical protein			BT_RS00010	996	331	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	1872	2648	+							BT_RS00015	777		old_locus_tag=BT0003,BT_0003
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	1872	2648	+	WP_009039993.1	WP_009039993.1		DUF4469 domain-containing protein			BT_RS00015	777	258	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	2783	3451	+							BT_RS00020	669		old_locus_tag=BT0004,BT_0004
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	2783	3451	+	WP_008647129.1	WP_008647129.1		hypothetical protein			BT_RS00020	669	222	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3700	3996	+					rpsQ		BT_RS00025	297		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	3700	3996	+	WP_055235409.1	WP_055235409.1		30S ribosomal protein S17	rpsQ		BT_RS00025	297	98	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4088	4534	+							BT_RS00030	447		old_locus_tag=BT0006,BT_0006
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4088	4534	+	WP_011107052.1	WP_011107052.1		hypothetical protein			BT_RS00030	447	148	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4801	4974	+							BT_RS24300	174		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4801	4974	+	WP_009039991.1	WP_009039991.1		hypothetical protein			BT_RS24300	174	57	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4958	5503	+							BT_RS00035	546		old_locus_tag=BT0008,BT_0008
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	4958	5503	+	WP_011107054.1	WP_011107054.1		hypothetical protein			BT_RS00035	546	181	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5632	6741	+					pstS		BT_RS00040	1110		old_locus_tag=BT0009,BT_0009
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	5632	6741	+	WP_011107055.1	WP_011107055.1		phosphate ABC transporter substrate-binding protein PstS	pstS		BT_RS00040	1110	369	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	6781	7869	+							BT_RS00045	1089		old_locus_tag=BT0010,BT_0010
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	6781	7869	+	WP_225011893.1	WP_225011893.1		hypothetical protein			BT_RS00045	1089	362	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	8024	8923	+							BT_RS00050	900		old_locus_tag=BT0011,BT_0011
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	8024	8923	+	WP_225011891.1	WP_225011891.1		hypothetical protein			BT_RS00050	900	299	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	8983	10149	+							BT_RS00055	1167		old_locus_tag=BT0012,BT_0012
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	8983	10149	+	WP_011107058.1	WP_011107058.1		hypothetical protein			BT_RS00055	1167	388	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	10322	10723	+							BT_RS00060	402		old_locus_tag=BT0013,BT_0013
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	10322	10723	+	WP_225011890.1	WP_225011890.1		hypothetical protein			BT_RS00060	402	133	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	11211	11534	-							BT_RS24465	324		
CDS	with_protein	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	11211	11534	-	WP_225011888.1	WP_225011888.1		hypothetical protein			BT_RS24465	324	107	
gene	protein_coding	GCF_000011065.1	Primary Assembly	chromosome		NC_004663.1	11610	13316	+							BT_RS00065	1707		old_locus_tag=BT0014,BT_0014
